,latitude,longitude,FBFM_VALUE
312,2222010.0,-2342700.0,-9999
313,2196450.0,-2341290.0,-9999
314,2177970.0,-2341050.0,-9999
315,1964670.0,-2290560.0,-9999
316,2193150.0,-2341680.0,-9999
317,2212800.0,-2346510.0,-9999
318,2196450.0,-2344230.0,-9999
319,2209380.0,-2340000.0,-9999
320,2213940.0,-2339010.0,-9999
321,2195610.0,-2342280.0,-9999
322,1504290.0,-2128320.0,-9999
323,2199630.0,-2340660.0,-9999
324,2203980.0,-2346150.0,-9999
325,1510530.0,-2134470.0,-9999
326,2224260.0,-2347440.0,-9999
327,2209500.0,-2340090.0,-9999
328,1510800.0,-2129400.0,-9999
329,1532850.0,-2165490.0,-9999
330,2175150.0,-2347020.0,-9999
331,2224740.0,-2346180.0,-9999
332,2175930.0,-2344560.0,-9999
333,2207010.0,-2340060.0,-9999
334,1961850.0,-2289540.0,-9999
335,1522890.0,-2135970.0,-9999
336,2173440.0,-2345610.0,-9999
337,1499700.0,-2121420.0,-9999
338,1505190.0,-2116920.0,-9999
339,2190000.0,-2341980.0,-9999
340,2186610.0,-2341620.0,-9999
341,1523910.0,-2147040.0,-9999
342,2227710.0,-2343000.0,-9999
343,2194410.0,-2342940.0,-9999
344,1501020.0,-2115150.0,-9999
345,2063340.0,-2305440.0,11
346,2206050.0,-2337780.0,-9999
347,1524180.0,-2155830.0,-9999
348,2148660.0,-2348220.0,-9999
349,2195070.0,-2336370.0,-9999
350,1523040.0,-2148870.0,-9999
351,1503300.0,-2126610.0,-9999
352,2201070.0,-2346600.0,-9999
353,1521570.0,-2150850.0,-9999
354,2222940.0,-2347140.0,-9999
355,1522350.0,-2150190.0,-9999
356,1535220.0,-2173770.0,-9999
357,1966440.0,-2292150.0,-9999
358,2191500.0,-2341620.0,-9999
359,2214300.0,-2344290.0,-9999
360,1516050.0,-2136450.0,-9999
361,1506240.0,-2122650.0,-9999
362,2226720.0,-2347950.0,-9999
363,1506090.0,-2119440.0,-9999
364,1531350.0,-2161980.0,-9999
365,1505100.0,-2125740.0,-9999
366,1519200.0,-2148540.0,-9999
367,1518090.0,-2144640.0,-9999
368,2182440.0,-2339850.0,-9999
369,1518270.0,-2130720.0,-9999
370,2194410.0,-2338770.0,-9999
371,1493520.0,-2111610.0,-9999
372,1505010.0,-2122560.0,-9999
373,2191230.0,-2343510.0,-9999
374,2202720.0,-2338080.0,-9999
375,1501020.0,-2117490.0,-9999
376,2221230.0,-2346420.0,-9999
377,2183370.0,-2337450.0,-9999
378,2183490.0,-2341470.0,-9999
379,1506090.0,-2131110.0,-9999
380,2128410.0,-2340030.0,12
381,1517970.0,-2133090.0,-9999
382,2187840.0,-2348310.0,-9999
383,2188020.0,-2344350.0,-9999
384,2194680.0,-2338740.0,-9999
385,1509090.0,-2125590.0,-9999
386,1512450.0,-2121300.0,-9999
387,1503240.0,-2116980.0,-9999
388,1504710.0,-2116530.0,-9999
389,2168010.0,-2345640.0,-9999
390,1501740.0,-2118480.0,-9999
391,2184060.0,-2341560.0,-9999
392,2047560.0,-2302140.0,12
393,1505550.0,-2123190.0,-9999
394,2219760.0,-2341890.0,-9999
395,2242530.0,-2345640.0,-9999
396,2190000.0,-2338980.0,-9999
397,1530510.0,-2163090.0,-9999
398,2196060.0,-2342100.0,-9999
399,1521180.0,-2153100.0,-9999
400,2191620.0,-2345010.0,-9999
401,1509390.0,-2122260.0,-9999
402,1506900.0,-2131470.0,-9999
403,2185290.0,-2347590.0,-9999
404,1535910.0,-2167980.0,-9999
405,1510830.0,-2123160.0,-9999
406,2218560.0,-2345880.0,-9999
407,1530060.0,-2167350.0,-9999
408,1497870.0,-2114760.0,-9999
409,1522770.0,-2149800.0,-9999
410,2164380.0,-2346870.0,-9999
411,1512600.0,-2134980.0,-9999
412,2193600.0,-2338920.0,-9999
413,2182200.0,-2347410.0,-9999
414,2242080.0,-2346300.0,-9999
415,2203410.0,-2338170.0,-9999
416,2192040.0,-2339670.0,-9999
417,1968000.0,-2258430.0,12
418,2196150.0,-2348520.0,-9999
419,1515120.0,-2143530.0,-9999
420,2190840.0,-2336340.0,-9999
421,2181930.0,-2339280.0,-9999
422,1503900.0,-2124360.0,-9999
423,2182800.0,-2337900.0,-9999
424,2198460.0,-2337360.0,-9999
425,2200230.0,-2348580.0,-9999
426,1507770.0,-2133300.0,-9999
427,2230200.0,-2342190.0,-9999
428,2210760.0,-2345970.0,-9999
429,1504020.0,-2124540.0,-9999
430,2242320.0,-2348820.0,-9999
431,1534860.0,-2168400.0,-9999
432,1533060.0,-2169480.0,-9999
433,1959030.0,-2289210.0,-9999
434,2162130.0,-2347560.0,-9999
435,2202840.0,-2342130.0,-9999
436,1497870.0,-2113980.0,-9999
437,1510110.0,-2127750.0,-9999
438,2186820.0,-2337330.0,-9999
439,1510920.0,-2121930.0,-9999
440,2193030.0,-2336100.0,-9999
441,2231100.0,-2346180.0,-9999
442,2059110.0,-2307720.0,12
443,1515690.0,-2129340.0,-9999
444,1507500.0,-2124240.0,-9999
445,1516140.0,-2129610.0,-9999
446,1539870.0,-2181990.0,-9999
447,1518990.0,-2134770.0,-9999
448,1530720.0,-2164290.0,-9999
449,2217180.0,-2340180.0,-9999
450,1503000.0,-2117460.0,-9999
451,2190480.0,-2342010.0,-9999
452,2210610.0,-2338740.0,-9999
453,1497210.0,-2112660.0,-9999
454,2205360.0,-2348160.0,-9999
455,2128500.0,-2323440.0,12
456,1517610.0,-2147850.0,-9999
457,1515990.0,-2129100.0,-9999
458,1513770.0,-2126220.0,-9999
459,2196210.0,-2347140.0,-9999
460,2195460.0,-2336010.0,-9999
461,2135820.0,-2348160.0,-9999
462,1522080.0,-2137500.0,-9999
463,1530750.0,-2161590.0,-9999
464,1536840.0,-2174550.0,-9999
465,1505940.0,-2130180.0,-9999
466,2220150.0,-2346300.0,-9999
467,2441520.0,-2289480.0,12
468,2183730.0,-2341110.0,-9999
469,2230560.0,-2342160.0,-9999
470,1538340.0,-2178900.0,-9999
471,2189160.0,-2337150.0,-9999
472,2216910.0,-2346960.0,-9999
473,2211330.0,-2343810.0,-9999
474,1514970.0,-2143380.0,-9999
475,1497810.0,-2113080.0,-9999
476,1503240.0,-2114670.0,-9999
477,1534890.0,-2174430.0,-9999
478,1525290.0,-2151090.0,-9999
479,2208870.0,-2346570.0,-9999
480,2208720.0,-2346900.0,-9999
